taxon_id,rank,organism_name
7,species,Azorhizobium caulinodans,6,genus
9,species,Buchnera aphidicola,32199,genus
14,species,Dictyoglomus thermophilum,13,genus
19,species,Pelobacter carbinolicus,18,genus
34,species,Myxococcus xanthus,32,genus
41,species,Stigmatella aurantiaca,40,genus
43,species,Cystobacter fuscus,42,genus
48,species,Archangium gephyra,47,genus
52,species,Chondromyces crocatus,50,genus
56,species,Sorangium cellulosum,39643,genus
61,species,Vitreoscilla stercoraria,59,genus
69,species,Lysobacter enzymogenes,68,genus
72,species,Simonsiella muelleri,71,genus
103,species,Flectobacillus major,101,genus
106,species,Runella slithyformis,105,genus
114,species,Gemmata obscuriglobus,113,genus
119,species,Rubinisphaera brasiliensis,1649490,genus
120,species,Planctopirus limnophila,1649480,genus
122,species,Gimesia maris,1649453,genus
124,species,Blastopirellula marina,265487,genus
125,species,Pirellula staleyi,123,genus
128,species,Isosphaera pallida,127,genus
140,species,Borrelia hermsii,138,genus
159,species,Brachyspira hyodysenteriae,29521,genus
183,species,Leptonema illini,32205,genus
188,species,Magnetospirillum magnetotacticum,13134,genus
189,species,Novispirillum itersonii,660514,genus
190,species,Aquaspirillum serpens,187,genus
192,species,Azospirillum brasilense,191,genus
195,species,Campylobacter coli,194,genus
210,species,Helicobacter pylori,209,genus
238,species,Elizabethkingia meningoseptica,308865,genus
247,species,Empedobacter brevis,59734,genus
249,species,Terrimonas ferruginea,296051,genus
253,species,Chryseobacterium indologenes,59732,genus
256,species,Myroides odoratus,76831,genus
258,species,Sphingobacterium spiritivorum,28453,genus
271,species,Thermus aquaticus,270,genus
280,species,Xanthobacter autotrophicus,279,genus
285,species,Comamonas testosteroni,283,genus
287,species,Pseudomonas aeruginosa,286,genus
293,species,Brevundimonas diminuta,41275,genus
305,species,Ralstonia solanacearum,48736,genus
337,species,Burkholderia glumae,32008,genus
339,species,Xanthomonas campestris,338,genus
354,species,Azotobacter vinelandii,352,genus
359,species,Agrobacterium rhizogenes,357,genus
375,species,Bradyrhizobium japonicum,374,genus
381,species,Mesorhizobium loti,68287,genus
382,species,Sinorhizobium meliloti,28105,genus
384,species,Rhizobium leguminosarum,379,genus
399,species,Neorhizobium galegae,1525371,genus
405,species,Methylobacillus flagellatus,404,genus
414,species,Methylococcus capsulatus,413,genus
421,species,Methylomonas methanica,416,genus
437,species,Acidomonas methanolica,34000,genus
438,species,Acetobacter pasteurianus,434,genus
442,species,Gluconobacter oxydans,441,genus
446,species,Legionella pneumophila,445,genus
447,species,Fluoribacter bozemanae,461,genus
451,species,Tatlockia micdadei,465,genus
470,species,Acinetobacter baumannii,469,genus
477,species,Moraxella lacunata,475,genus
484,species,Neisseria flavescens,482,genus
494,species,Bergeriella denitrificans,334108,genus
500,species,Thermomicrobium roseum,499,genus
504,species,Kingella kingae,32257,genus
511,species,Alcaligenes faecalis,507,genus
520,species,Bordetella pertussis,517,genus
524,species,Acidiphilium cryptum,522,genus
529,species,Ochrobactrum anthropi,528,genus
531,species,Polaribacter irgensii,52959,genus
536,species,Chromobacterium violaceum,535,genus
539,species,Eikenella corrodens,538,genus
542,species,Zymomonas mobilis,541,genus
545,species,Citrobacter koseri,544,genus
548,species,[Enterobacter] aerogenes,570,genus
549,species,Pantoea agglomerans,53335,genus
550,species,Enterobacter cloacae,547,genus
554,species,Pectobacterium carotovorum,122277,genus
562,species,Escherichia coli,561,genus
563,species,Shimwellia blattae,1335483,genus
569,species,Hafnia alvei,568,genus
575,species,Raoultella planticola,160674,genus
580,species,Kluyvera cryocrescens,579,genus
582,species,Morganella morganii,581,genus
584,species,Proteus mirabilis,583,genus
587,species,Providencia rettgeri,586,genus
614,species,Serratia liquefaciens,613,genus
623,species,Shigella flexneri,620,genus
628,species,Xenorhabdus nematophila,626,genus
630,species,Yersinia enterocolitica,629,genus
636,species,Edwardsiella tarda,635,genus
644,species,Aeromonas hydrophila,642,genus
659,species,Photobacterium phosphoreum,657,genus
663,species,Vibrio alginolyticus,662,genus
668,species,Aliivibrio fischeri,511678,genus
673,species,Grimontia hollisae,246861,genus
703,species,Plesiomonas shigelloides,702,genus
718,species,Actinobacillus equuli,713,genus
726,species,Haemophilus haemolyticus,724,genus
728,species,Avibacterium paragallinarum,292486,genus
731,species,Histophilus somni,214906,genus
732,species,Aggregatibacter aphrophilus,416916,genus
747,species,Pasteurella multocida,745,genus
750,species,Gallibacterium anatis,155493,genus
777,species,Coxiella burnetii,776,genus
779,species,Ehrlichia ruminantium,943,genus
784,species,Orientia tsutsugamushi,69474,genus
813,species,Chlamydia trachomatis,810,genus
817,species,Bacteroides fragilis,816,genus
823,species,Parabacteroides distasonis,375288,genus
826,species,Sebaldella termitidis,32068,genus
833,species,Fibrobacter succinogenes,832,genus
837,species,Porphyromonas gingivalis,836,genus
844,species,Wolinella succinogenes,843,genus
847,species,Oxalobacter formigenes,846,genus
851,species,Fusobacterium nucleatum,848,genus
853,species,Faecalibacterium prausnitzii,216851,genus
863,species,Syntrophomonas wolfei,862,genus
870,species,Dichelobacter nodosus,869,genus
881,species,Desulfovibrio vulgaris,872,genus
891,species,Desulfuromonas acetoxidans,890,genus
894,species,Desulfobulbus propionicus,893,genus
899,species,Desulfomicrobium baculatum,898,genus
907,species,Megasphaera elsdenii,906,genus
912,species,Nitrobacter hamburgensis,911,genus
915,species,Nitrosomonas europaea,914,genus
920,species,Acidithiobacillus ferrooxidans,119977,genus
921,species,Starkeya novella,152053,genus
926,species,Thiomonas intermedia,32012,genus
927,species,Halothiobacillus neapolitanus,109262,genus
929,species,Thermithiobacillus tepidarius,119979,genus
940,species,Hydrogenobacter thermophilus,939,genus
948,species,Anaplasma phagocytophilum,768,genus
951,species,Neorickettsia sennetsu,33993,genus
955,species,Wolbachia pipientis,953,genus
959,species,Bdellovibrio bacteriovorus,958,genus
964,species,Herbaspirillum seropedicae,963,genus
979,species,Cellulophaga lytica,104264,genus
982,species,Saccharicrinis fermentans,1618113,genus
985,species,Cytophaga hutchinsonii,978,genus
989,species,Marinilabilia salmonicolor,59738,genus
991,species,Flavobacterium hydatis,237,genus
995,species,Solitalea canadensis,929509,genus
999,species,Flexibacter litoralis,992,genus
1006,species,Marivirga tractuosa,869806,genus
1008,species,Saprospira grandis,1007,genus
1014,species,Weeksella virosa,1013,genus
1015,species,Bergeyella zoohelcum,59735,genus
1027,species,Microscilla marina,1023,genus
1031,species,Thiothrix nivea,1030,genus
1044,species,Erythrobacter longus,1041,genus
1048,species,Marichromatium gracile,85076,genus
1049,species,Allochromatium vinosum,85072,genus
1053,species,Halorhodospira halophila,85108,genus
1061,species,Rhodobacter capsulatus,1060,genus
1069,species,Rhodomicrobium vannielii,1068,genus
1076,species,Rhodopseudomonas palustris,1073,genus
1079,species,Blastochloris viridis,59282,genus
1083,species,Phaeospirillum molischianum,85265,genus
1084,species,Pararhodospirillum photometricum,1612157,genus
1085,species,Rhodospirillum rubrum,1081,genus
1087,species,Rhodovibrio salinarum,85274,genus
1092,species,Chlorobium limicola,1091,genus
1097,species,Chlorobaculum tepidum,256319,genus
1100,species,Pelodictyon luteolum,1099,genus
1102,species,Prosthecochloris aestuarii,1101,genus
1108,species,Chloroflexus aurantiacus,1107,genus
1112,species,Porphyrobacter neustonensis,1111,genus
1124,species,Chlorogloeopsis fritschii,1123,genus
1126,species,Microcystis aeruginosa,1125,genus
1147,species,Synechocystis sp. PCC 6714,1142,genus
1160,species,Planktothrix agardhii,54304,genus
1164,species,Trichormus azollae,264688,genus
1176,species,Aphanizomenon flos-aquae,1175,genus
1188,species,Tolypothrix sp. PCC 7601,111782,genus
1206,species,Trichodesmium erythraeum,1205,genus
1219,species,Prochlorococcus marinus,1218,genus
1223,species,Prochlorothrix hollandica,1222,genus
1229,species,Nitrosococcus oceani,1227,genus
1238,species,Piscirickettsia salmonis,1237,genus
1245,species,Leuconostoc mesenteroides,1243,genus
1247,species,Oenococcus oeni,46254,genus
1255,species,Pediococcus pentosaceus,1253,genus
1260,species,Finegoldia magna,150022,genus
1261,species,Peptostreptococcus anaerobius,1257,genus
1267,species,Clostridium ventriculi,1485,genus
1270,species,Micrococcus luteus,1269,genus
1274,species,Dermacoccus nishinomiyaensis,57495,genus
1276,species,Kytococcus sedentarius,57499,genus
1280,species,Staphylococcus aureus,1279,genus
1302,species,Streptococcus gordonii,1301,genus
1323,species,Faecalicoccus pleomorphus,1573536,genus
1351,species,Enterococcus faecalis,1350,genus
1358,species,Lactococcus lactis,1357,genus
1374,species,Planococcus kocurii,1372,genus
1376,species,Aerococcus urinae,1375,genus
1379,species,Gemella haemolysans,1378,genus
1381,species,Atopobium minutum,1380,genus
1390,species,Bacillus amyloliquefaciens,1386,genus
1393,species,Brevibacillus brevis,55080,genus
1406,species,Paenibacillus polymyxa,44249,genus
1421,species,Lysinibacillus sphaericus,400634,genus
1426,species,Geobacillus thermoglucosidasius,129337,genus
1459,species,Sporosarcina globispora,1569,genus
1473,species,Virgibacillus pantothenticus,84406,genus
1484,species,Hydrogenibacillus schlegelii,1609627,genus
1490,species,Paraclostridium bifermentans,1849822,genus
1496,species,Clostridioides difficile,1870884,genus
1503,species,[Clostridium] purinilyticum,1505664,genus
1505,species,Paeniclostridium sordellii,1849828,genus
1511,species,[Clostridium] sticklandii,1481960,genus
1522,species,[Clostridium] innocuum,1505663,genus
1525,species,Moorella thermoacetica,44260,genus
1575,species,Leifsonia xyli,110932,genus
1579,species,Lactobacillus acidophilus,1578,genus
1583,species,Weissella confusa,46255,genus
1630,species,Kandleria vitulina,1279388,genus
1631,species,Fructobacillus fructosus,559173,genus
1639,species,Listeria monocytogenes,1637,genus
1646,species,Renibacterium salmoninarum,1645,genus
1648,species,Erysipelothrix rhusiopathiae,1647,genus
1652,species,Alloiococcus otitis,1651,genus
1657,species,Actinobaculum suis,76833,genus
1660,species,Actinomyces odontolyticus,1654,genus
1661,species,Trueperella pyogenes,1069494,genus
1703,species,Brevibacterium linens,1696,genus
1705,species,Corynebacterium stationis,1716,genus
1711,species,Cellulomonas flavigena,1707,genus
1713,species,Oerskovia turbata,162491,genus
1735,species,Holdemanella biformis,1573535,genus
1736,species,Eubacterium limosum,1730,genus
1741,species,Thermodesulfobacterium commune,1740,genus
1748,species,Propionibacterium acidipropionici,1743,genus
1764,species,Mycobacterium avium,1763,genus
1828,species,Rhodococcus fascians,1827,genus
1844,species,Nocardioides luteus,1839,genus
1852,species,Saccharomonospora viridis,1851,genus
1861,species,Geodermatophilus obscurus,1860,genus
1863,species,Dermatophilus congolensis,1862,genus
1869,species,Actinoplanes utahensis,1865,genus
1886,species,Streptomyces albidoflavus,1883,genus
1996,species,Microtetraspora glauca,1995,genus
2001,species,Streptosporangium roseum,2000,genus
2006,species,Thermobispora bispora,147067,genus
2014,species,Nocardiopsis dassonvillei,2013,genus
2020,species,Thermomonospora curvata,2019,genus
2021,species,Thermobifida fusca,83677,genus
2026,species,Thermoactinomyces vulgaris,2023,genus
2030,species,Kibdelosporangium aridum,2029,genus
2033,species,Microbacterium testaceum,33882,genus
2035,species,Curtobacterium flaccumfaciens,2034,genus
2039,species,Tropheryma whipplei,2038,genus
2041,species,Aeromicrobium erythreum,2040,genus
2045,species,Pimelobacter simplex,2044,genus
2047,species,Rothia dentocariosa,32207,genus
2051,species,Mobiluncus curtisii,2050,genus
2057,species,Sphaerobacter thermophilus,2056,genus
2064,species,Kitasatospora griseola,2063,genus
2074,species,Pseudonocardia autotrophica,1847,genus
2078,species,Sporolactobacillus inulinus,2077,genus
2094,species,Mycoplasma arginini,2093,genus
2138,species,Spiroplasma poulsonii,2132,genus
2151,species,Mesoplasma florum,46239,genus
2162,species,Methanobacterium formicicum,2160,genus
2176,species,Methanohalophilus mahii,2175,genus
2180,species,Methanothermus fervidus,2179,genus
2186,species,Methanothermococcus thermolithotrophicus,155862,genus
2190,species,Methanocaldococcus jannaschii,196118,genus
2197,species,Methanogenium cariaci,2195,genus
2198,species,Methanoculleus marisnigri,45989,genus
2201,species,Methanofollis liminatans,81416,genus
2203,species,Methanospirillum hungatei,2202,genus
2205,species,Methanomicrobium mobile,2204,genus
2209,species,Methanosarcina mazei,2207,genus
2221,species,Methanolobus tindarius,2220,genus
2226,species,Methanococcoides methylutens,2225,genus
2234,species,Archaeoglobus fulgidus,2233,genus
2238,species,Haloarcula marismortui,2237,genus
2242,species,Halobacterium salinarum,2239,genus
2250,species,Halococcus morrhuae,2249,genus
2269,species,Thermofilum pendens,2268,genus
2271,species,Thermoproteus tenax,2270,genus
2277,species,Pyrobaculum islandicum,2276,genus
2280,species,Staphylothermus marinus,2279,genus
2285,species,Sulfolobus acidocaldarius,2284,genus
2293,species,Desulfobacter postgatei,2289,genus
2296,species,Desulfobacterium autotrophicum,2295,genus
2303,species,Thermoplasma acidophilum,2302,genus
2309,species,Pyrodictium occultum,2308,genus
2315,species,Methanoplanus limicola,2314,genus
2317,species,Methanosphaera stadtmanae,2316,genus
2322,species,Methanohalobium evestigatum,2321,genus
2325,species,Thermoanaerobacter kivui,1754,genus
2331,species,Halanaerobium praevalens,2330,genus
2336,species,Thermotoga maritima,2335,genus
2340,species,Solemya velum gill symbiont,1236,class
2350,species,Haliscomenobacter hydrossis,2349,genus
2352,species,Flexistipes sinusarabici,2351,genus
2358,species,Desulfomonile tiedjei,2357,genus
2369,species,Arhodomonas aquaeolei,2368,genus
2371,species,Xylella fastidiosa,2370,genus
2374,species,Acetonema longum,2373,genus
2378,species,Sporomusa ovata,2375,genus
2423,species,Fervidobacterium islandicum,2422,genus
2426,species,Teredinibacter turnerae,2425,genus
2702,species,Gardnerella vaginalis,2701,genus
2718,species,Cardiobacterium hominis,2717,genus
2734,species,Symbiobacterium thermophilum,2733,genus
2736,species,Verrucomicrobium spinosum,2735,genus
2746,species,Halomonas elongata,2745,genus
2751,species,Carnobacterium maltaromaticum,2747,genus
2754,species,Synergistes jonesii,2753,genus
2756,species,Brochothrix thermosphacta,2755,genus
2850,species,Phaeodactylum tricornutum,2849,genus
2880,species,Ectocarpus siliculosus,2879,genus
2903,species,Emiliania huxleyi,2902,genus
3039,species,Euglena gracilis,3038,genus
5656,species,Crithidia fasciculata,5655,genus
4781,species,Plasmopara halstedii,4780,genus
4785,species,Phytophthora cinnamomi,4783,genus
